USDA_name,FAO_name,FAO_yield
ALMONDS-ALL CLASSES,"Almonds, with shell",23776.3
ALMONDS-ALL CLASSES-IN SHELL,"Almonds, with shell",23776.3
ALMONDS-ALL CLASSES-SHELLED,"Almonds, with shell",23776.3
APPLES-ALL CLASSES,Apples,278292.3
APRICOTS-ALL CLASSES,Apricots,105120.8
ARTICHOKES-ALL CLASSES,Artichokes,134155.1
ASPARAGUS-ALL CLASSES,Asparagus,46549.5
AVOCADOS-ALL CLASSES,Avocados,71252.1
BARLEY-ALL CLASSES,Barley,38353
"BEANS-DRY EDIBLE, INCL CHICKPEAS","Beans, dry",21548.5
"BEANS-GREEN, LIMA","Beans, green",65257.9
BEANS-SNAP,String beans,102854.57
BEETS-ALL CLASSES,"Vegetables, fresh nes",337788
BLACKBERRIES-ALL CLASSES,Berries nes,58646.1
BLUEBERRIES-TAME,Blueberries,56252.4
BOYSENBERRIES-ALL CLASSES,Berries nes,58646.1
BROCCOLI-ALL CLASSES,Cauliflowers and broccoli,183148.8
BRUSSELS SPROUTS-ALL CLASSES,Cabbages and other brassicas,361916.5
CABBAGE-ALL CLASSES,Cabbages and other brassicas,361916.5
CANOLA-ALL CLASSES,Rapeseed,25150.8
CARROTS-ALL CLASSES,Carrots and turnips,424893.2
CAULIFLOWER-ALL CLASSES,Cauliflowers and broccoli,183148.8
CELERY-ALL CLASSES,"Vegetables, fresh nes",337788
CHERRIES-SWEET,Cherries,69109.4
CORN-ALL CLASSES-GRAIN,Maize,89214.2
CORN-ALL CLASSES-SILAGE,NA,NA
COTTON-ALL CLASSES,NA,NA
CRANBERRIES-ALL CLASSES,Cranberries,134360.9
CUCUMBERS-ALL CLASSES,Cucumbers and gherkins,273434.3
DATES-ALL CLASSES,Dates,155969.3
EGGPLANT-ALL CLASSES,Eggplants (aubergines),339754.2
ESCAROLE & ENDIVE-ALL CLASSES,Lettuce and chicory,310129.8
FIGS-ALL CLASSES,Figs,75384.2
FLAXSEED-ALL CLASSES,Linseed,11822.7
GARLIC-ALL CLASSES,Garlic,131002.8
GRAPEFRUIT-ALL CLASSES,Grapefruit (inc. pomelos),279150.5
GRAPES-ALL CLASSES,Grapes,122075.5
HAY-ALL CLASSES,NA,NA
HAZELNUTS-ALL CLASSES,"Hazelnuts, with shell",19124.1
HOPS-ALL CLASSES,Hops,19473.8
KIWIFRUIT-ALL CLASSES,Kiwi fruit,203152
LEMONS-ALL CLASSES,Lemons and limes,292036.2
LENTILS-ALL CLASSES,Lentils,12370.4
LETTUCE-HEAD,Lettuce and chicory,310129.8
LETTUCE-LEAF,Lettuce and chicory,310129.8
LETTUCE-ROMAINE,Lettuce and chicory,310129.8
LOGANBERRIES-ALL CLASSES,Berries nes,58646.1
MELONS-CANTALOUP,"Melons, other (inc.cantaloupes)",257182.4
MELONS-HONEYDEW,"Melons, other (inc.cantaloupes)",257182.4
MELONS-WATERMELON,"Melons, other (inc.cantaloupes)",257182.4
MILLET-PROSO,Millet,15891.2
MUSTARD-ALL CLASSES,Mustard seed,7899.8
NECTARINES-ALL CLASSES,Peaches and nectarines,176897.8
OATS-ALL CLASSES,Oats,28560.8
OKRA-ALL CLASSES,Okra,99894.5
OLIVES-ALL CLASSES,Olives,51492
ONIONS-DRY,"Onions, dry",461990
ORANGES-ALL CLASSES,Oranges,224634.8
PEACHES-ALL CLASSES,Peaches and nectarines,176897.8
PEANUTS-ALL CLASSES,"Groundnuts, with shell",38710.43
PEARS-ALL CLASSES,Pears,263525.1
PEAS-AUSTRIAN WINTER,"Peas, dry",24047.6
PEAS-DRY EDIBLE,"Peas, dry",24047.6
PEAS-GREEN,"Peas, green",49653.9
PECANS-ALL CLASSES,Nuts nes,11737.1
PEPPERS-BELL,"Chillies and peppers, green",327344.2
PEPPERS-CHILE,"Chillies and peppers, green",327344.2
PISTACHIOS-ALL CLASSES,Pistachios,26251.86
PLUMS-ALL CLASSES,"Fruit, stone nes",58989
POTATOES-ALL CLASSES,Potatoes,348607.1
PRUNES-ALL CLASSES,NA,NA
PUMPKINS-ALL CLASSES,"Pumpkins, squash and gourds",243347.9
RADISHES-ALL CLASSES,"Vegetables, fresh nes",337788
RASPBERRIES-ALL CLASSES,Raspberries,92167.6
RICE-ALL CLASSES,"Rice, paddy",74180
RYE-ALL CLASSES,Rye,28543.5
SAFFLOWER-ALL CLASSES,Safflower seed,10505.8
SORGHUM-ALL CLASSES-GRAIN,Sorghum,42537.4
SORGHUM-ALL CLASSES-SILAGE,NA,NA
SOYBEANS-ALL CLASSES,Soybeans,26807.1
SPINACH-ALL CLASSES,Spinach,161910.9
SQUASH-ALL CLASSES,"Pumpkins, squash and gourds",243347.9
STRAWBERRIES-ALL CLASSES,Strawberries,316463.3
SUGARBEETS-ALL CLASSES,Sugar beet,641271
SUNFLOWER-ALL CLASSES,Sunflower seed,19400.5
SWEET CORN-ALL CLASSES,"Maize, green",178493.3
SWEET POTATOES-ALL CLASSES,Sweet potatoes,239789.8
TANGELOS-ALL CLASSES,"Tangerines, mandarins, clementines, satsumas",259680.7
TANGERINES-ALL CLASSES,"Tangerines, mandarins, clementines, satsumas",259680.7
TOBACCO-ALL CLASSES,"Tobacco, unmanufactured",22003.7
TOMATOES-ALL CLASSES,Tomatoes,756362.8
WALNUTS-ENGLISH,"Walnuts, with shell",34999.4
WHEAT-ALL CLASSES,Wheat,37677