"","year","crop_area","state_name","irr_area","prop_irr","fips","decade"
"193",1997,2179636,"ALABAMA",73490,0.0337166389250315,"01","1990_1999"
"194",1997,1026359,"ARIZONA",1020622,0.994410337903209,"04","1990_1999"
"195",1997,7814711,"ARKANSAS",3772697,0.48276858862727,"05","1990_1999"
"196",1997,8676242,"CALIFORNIA",8101078,0.933708165355462,"06","1990_1999"
"197",1997,6099357,"COLORADO",2728402,0.447326168971582,"08","1990_1999"
"198",1997,153446,"CONNECTICUT",7564,0.0492942142512675,"09","1990_1999"
"199",1997,469920,"DELAWARE",74733,0.159033452502554,"10","1990_1999"
"200",1997,2434379,"FLORIDA",1739729,0.71465001957378,"12","1990_1999"
"201",1997,3894737,"GEORGIA",760601,0.195289438028807,"13","1990_1999"
"202",1997,4581227,"IDAHO",3102326,0.67718233564938,"16","1990_1999"
"203",1997,22428616,"ILLINOIS",350118,0.0156103256661044,"17","1990_1999"
"204",1997,11844628,"INDIANA",254285,0.0214683821222583,"18","1990_1999"
"205",1997,24008826,"IOWA",130557,0.00543787522138733,"19","1990_1999"
"206",1997,20989979,"KANSAS",2654630,0.12647130328239,"20","1990_1999"
"207",1997,4853500,"KENTUCKY",56366,0.0116134748119913,"21","1990_1999"
"208",1997,4022664,"LOUISIANA",951114,0.236438837546462,"22","1990_1999"
"209",1997,426711,"MAINE",22014,0.0515899519815519,"23","1990_1999"
"210",1997,1377747,"MARYLAND",68094,0.0494241685882822,"24","1990_1999"
"211",1997,184480,"MASSACHUSETTS",26465,0.143457285342585,"25","1990_1999"
"212",1997,6989300,"MICHIGAN",403927,0.0577921966434407,"26","1990_1999"
"213",1997,19794078,"MINNESOTA",399440,0.0201797729603773,"27","1990_1999"
"214",1997,4519775,"MISSISSIPPI",1109779,0.245538550038442,"28","1990_1999"
"215",1997,12850509,"MISSOURI",916926,0.0713532825820362,"29","1990_1999"
"216",1997,9792216,"MONTANA",1620083,0.165446003233589,"30","1990_1999"
"217",1997,17897591,"NEBRASKA",6955031,0.388601516259926,"31","1990_1999"
"218",1997,526408,"NEVADA",526204,0.999612467895625,"32","1990_1999"
"219",1997,111870,"NEW HAMPSHIRE",2612,0.0233485295432198,"33","1990_1999"
"220",1997,498912,"NEW JERSEY",93461,0.187329629273299,"34","1990_1999"
"221",1997,1118176,"NEW MEXICO",708387,0.633520125633174,"35","1990_1999"
"222",1997,3855732,"NEW YORK",71134,0.0184488963444555,"36","1990_1999"
"223",1997,4269966,"NORTH CAROLINA",145853,0.0341578832243629,"37","1990_1999"
"224",1997,20674991,"NORTH DAKOTA",178784,0.00864735563851031,"38","1990_1999"
"225",1997,10070813,"OHIO",34496,0.00342534411074856,"39","1990_1999"
"226",1997,8964248,"OKLAHOMA",466620,0.0520534460893987,"40","1990_1999"
"227",1997,3258082,"OREGON",1421750,0.436376371128781,"41","1990_1999"
"228",1997,4219115,"PENNSYLVANIA",38636,0.00915737068081813,"42","1990_1999"
"229",1997,21537,"RHODE ISLAND",3228,0.149881599108511,"44","1990_1999"
"230",1997,1732870,"SOUTH CAROLINA",87382,0.0504261716112576,"45","1990_1999"
"231",1997,14770445,"SOUTH DAKOTA",354992,0.0240339407512773,"46","1990_1999"
"232",1997,4233018,"TENNESSEE",44700,0.0105598417015945,"47","1990_1999"
"233",1997,20357767,"TEXAS",5411100,0.265800271709564,"48","1990_1999"
"234",1997,1113756,"UTAH",878258,0.788555123384296,"49","1990_1999"
"235",1997,473026,"VERMONT",2683,0.00567199266002292,"50","1990_1999"
"236",1997,2600860,"VIRGINIA",83101,0.0319513545519559,"51","1990_1999"
"237",1997,5160717,"WASHINGTON",1664494,0.322531539706595,"53","1990_1999"
"238",1997,661882,"WEST VIRGINIA",2990,0.00451742153435205,"54","1990_1999"
"239",1997,8996941,"WISCONSIN",356203,0.0395915678451154,"55","1990_1999"
"240",1997,1801314,"WYOMING",1196663,0.664327818470294,"56","1990_1999"
"241",1982,3265361,"ALABAMA",63448,0.0194306234440847,"01","1980_1989"
"242",1987,2231623,"ALABAMA",75894,0.0340084324278787,"01","1980_1989"
"243",1992,2104064,"ALABAMA",77263,0.0367208411911425,"01","1990_1999"
"244",1982,1047213,"ARIZONA",1042527,0.995525265633639,"04","1980_1989"
"245",1987,865817,"ARIZONA",859654,0.992881867646396,"04","1980_1989"
"246",1992,911355,"ARIZONA",905892,0.994005628981023,"04","1990_1999"
"247",1982,7484316,"ARKANSAS",2019406,0.269818377524412,"05","1980_1989"
"248",1987,6477365,"ARKANSAS",2396987,0.370055879203966,"05","1980_1989"
"249",1992,7295095,"ARKANSAS",2691480,0.368943790313903,"05","1990_1999"
"250",1982,8764808,"CALIFORNIA",7787078,0.888448212442303,"06","1980_1989"
"251",1987,7676287,"CALIFORNIA",6964100,0.907222463151782,"06","1980_1989"
"252",1992,7760773,"CALIFORNIA",7026146,0.905341001469828,"06","1990_1999"
"253",1982,6036679,"COLORADO",2656328,0.440031348362237,"08","1980_1989"
"254",1987,5522216,"COLORADO",2442358,0.442278606994004,"08","1980_1989"
"255",1992,5532964,"COLORADO",2649111,0.47878695758729,"08","1990_1999"
"256",1982,171229,"CONNECTICUT",6650,0.0388368792669466,"09","1980_1989"
"257",1987,153715,"CONNECTICUT",6840,0.044497934489152,"09","1980_1989"
"258",1992,143782,"CONNECTICUT",5449,0.0378976506099512,"09","1990_1999"
"259",1982,499986,"DELAWARE",44014,0.0880304648530159,"10","1980_1989"
"260",1987,441502,"DELAWARE",60744,0.137584880702692,"10","1980_1989"
"261",1992,470348,"DELAWARE",61594,0.130954102069106,"10","1990_1999"
"262",1982,2643147,"FLORIDA",1303315,0.49309213600303,"12","1980_1989"
"263",1987,2240831,"FLORIDA",1395612,0.622810020032747,"12","1980_1989"
"264",1992,2400704,"FLORIDA",1624498,0.676675675135294,"12","1990_1999"
"265",1982,4761260,"GEORGIA",567378,0.119165515010732,"13","1980_1989"
"266",1987,3298268,"GEORGIA",627311,0.190194065491343,"13","1980_1989"
"267",1992,3332666,"GEORGIA",713047,0.213956934178222,"13","1990_1999"
"268",1982,4887805,"IDAHO",3037603,0.621465668127104,"16","1980_1989"
"269",1987,4349122,"IDAHO",2811354,0.646418748427844,"16","1980_1989"
"270",1992,4225273,"IDAHO",2882199,0.682133201807315,"16","1990_1999"
"271",1982,23008244,"ILLINOIS",163112,0.00708928504061414,"17","1980_1989"
"272",1987,20102388,"ILLINOIS",205469,0.0102211239779075,"17","1980_1989"
"273",1992,21868287,"ILLINOIS",325691,0.0148933018850539,"17","1990_1999"
"274",1982,12136310,"INDIANA",131251,0.0108147369340434,"18","1980_1989"
"275",1987,10706298,"INDIANA",167706,0.0156642380027158,"18","1980_1989"
"276",1992,11834675,"INDIANA",239755,0.0202586889796298,"18","1990_1999"
"277",1982,24137670,"IOWA",91175,0.00377729084870246,"19","1980_1989"
"278",1987,20484178,"IOWA",91598,0.0044716463604251,"19","1980_1989"
"279",1992,22826308,"IOWA",114911,0.00503414744075126,"19","1990_1999"
"280",1982,20186874,"KANSAS",2639024,0.130729700893759,"20","1980_1989"
"281",1987,17729394,"KANSAS",2408176,0.135829572065464,"20","1980_1989"
"282",1992,18794787,"KANSAS",2626318,0.139736513108661,"20","1990_1999"
"283",1982,4835631,"KENTUCKY",21503,0.00444678264325793,"21","1980_1989"
"284",1987,4250284,"KENTUCKY",31903,0.00750608665209195,"21","1980_1989"
"285",1992,4417651,"KENTUCKY",25300,0.00572702551650187,"21","1990_1999"
"286",1982,4699323,"LOUISIANA",686489,0.146082531462511,"22","1980_1989"
"287",1987,3599678,"LOUISIANA",634834,0.176358552070491,"22","1980_1989"
"288",1992,3810690,"LOUISIANA",885969,0.232495689756973,"22","1990_1999"
"289",1982,457076,"MAINE",5825,0.0127440513175052,"23","1980_1989"
"290",1987,410891,"MAINE",5998,0.0145975453344074,"23","1980_1989"
"291",1992,399755,"MAINE",10108,0.0252854873610086,"23","1990_1999"
"292",1982,1528994,"MARYLAND",38219,0.0249961739549011,"24","1980_1989"
"293",1987,1346913,"MARYLAND",50077,0.0371790902604697,"24","1980_1989"
"294",1992,1397069,"MARYLAND",56332,0.040321558920855,"24","1990_1999"
"295",1982,197769,"MASSACHUSETTS",17012,0.0860195480585936,"25","1980_1989"
"296",1987,194874,"MASSACHUSETTS",19566,0.10040333754118,"25","1980_1989"
"297",1992,173255,"MASSACHUSETTS",19622,0.1132550287149,"25","1990_1999"
"298",1982,7255909,"MICHIGAN",284047,0.0391469904046481,"26","1980_1989"
"299",1987,6172468,"MICHIGAN",312073,0.050558868834962,"26","1980_1989"
"300",1992,6584251,"MICHIGAN",364718,0.055392481240463,"26","1990_1999"
"301",1982,19722645,"MINNESOTA",312667,0.0158531981891881,"27","1980_1989"
"302",1987,16635264,"MINNESOTA",348500,0.0209494721574602,"27","1980_1989"
"303",1992,18201061,"MINNESOTA",365305,0.0200705332507814,"27","1990_1999"
"304",1982,5799772,"MISSISSIPPI",429447,0.074045496960915,"28","1980_1989"
"305",1987,4272651,"MISSISSIPPI",632791,0.148102665066723,"28","1980_1989"
"306",1992,4404612,"MISSISSIPPI",878992,0.199561732111705,"28","1990_1999"
"307",1982,12725378,"MISSOURI",400668,0.0314857444706161,"29","1980_1989"
"308",1987,11655304,"MISSOURI",529342,0.0454164044112449,"29","1980_1989"
"309",1992,12158832,"MISSOURI",704928,0.0579766214386382,"29","1990_1999"
"310",1982,9365775,"MONTANA",1537067,0.16411530279128,"30","1980_1989"
"311",1987,9128013,"MONTANA",1541977,0.168928002184046,"30","1980_1989"
"312",1992,8199296,"MONTANA",1513042,0.184533159920071,"30","1990_1999"
"313",1982,17075625,"NEBRASKA",5948974,0.348389824676988,"31","1980_1989"
"314",1987,15276151,"NEBRASKA",5561530,0.364066183949085,"31","1980_1989"
"315",1992,16146818,"NEBRASKA",6221357,0.385299258343037,"31","1990_1999"
"316",1982,605082,"NEVADA",602082,0.995041994308209,"32","1980_1989"
"317",1987,526067,"NEVADA",524067,0.996198202890506,"32","1980_1989"
"318",1992,408568,"NEVADA",408568,1,"32","1990_1999"
"319",1982,116613,"NEW HAMPSHIRE",1272,0.0109078747652492,"33","1980_1989"
"320",1987,106629,"NEW HAMPSHIRE",1504,0.0141049808213525,"33","1980_1989"
"321",1992,100746,"NEW HAMPSHIRE",1736,0.0172314533579497,"33","1990_1999"
"322",1982,570031,"NEW JERSEY",81840,0.143571139113487,"34","1980_1989"
"323",1987,484805,"NEW JERSEY",89961,0.185561205020575,"34","1980_1989"
"324",1992,491518,"NEW JERSEY",79745,0.162242278004061,"34","1990_1999"
"325",1982,1297305,"NEW MEXICO",702040,0.541152620239651,"35","1980_1989"
"326",1987,989214,"NEW MEXICO",606344,0.612955336256867,"35","1980_1989"
"327",1992,1060345,"NEW MEXICO",627553,0.591838505392113,"35","1990_1999"
"328",1982,4430198,"NEW YORK",50673,0.0114380892231002,"36","1980_1989"
"329",1987,3899819,"NEW YORK",48613,0.0124654503196174,"36","1980_1989"
"330",1992,3534898,"NEW YORK",44943,0.0127140867996757,"36","1990_1999"
"331",1982,4659283,"NORTH CAROLINA",79607,0.0170856760578827,"37","1980_1989"
"332",1987,3779164,"NORTH CAROLINA",135368,0.0358195622100549,"37","1980_1989"
"333",1992,3998685,"NORTH CAROLINA",105667,0.0264254373625329,"37","1990_1999"
"334",1982,20308135,"NORTH DAKOTA",160726,0.00791436535161895,"38","1980_1989"
"335",1987,18363910,"NORTH DAKOTA",162078,0.00882589818834878,"38","1980_1989"
"336",1992,19216531,"NORTH DAKOTA",181878,0.00946466352329669,"38","1990_1999"
"337",1982,10396323,"OHIO",27338,0.00262958355564751,"39","1980_1989"
"338",1987,9297596,"OHIO",31247,0.00336076121182293,"39","1980_1989"
"339",1992,9790327,"OHIO",28423,0.00290317167138544,"39","1990_1999"
"340",1982,8961353,"OKLAHOMA",468043,0.0522290551437936,"40","1980_1989"
"341",1987,7319193,"OKLAHOMA",448809,0.0613194651377549,"40","1980_1989"
"342",1992,8272889,"OKLAHOMA",478068,0.0577873098502833,"40","1990_1999"
"343",1982,3305714,"OREGON",1376498,0.416399603837477,"41","1980_1989"
"344",1987,2832663,"OREGON",1228388,0.433651302678787,"41","1980_1989"
"345",1992,2823972,"OREGON",1237787,0.438314190084038,"41","1990_1999"
"346",1982,4363789,"PENNSYLVANIA",17692,0.00405427485151092,"42","1980_1989"
"347",1987,4080153,"PENNSYLVANIA",28436,0.00696934649264378,"42","1980_1989"
"348",1992,3861435,"PENNSYLVANIA",22519,0.00583176979542579,"42","1990_1999"
"349",1982,21252,"RHODE ISLAND",1828,0.0860154338415208,"44","1980_1989"
"350",1987,18498,"RHODE ISLAND",3116,0.168450643312791,"44","1980_1989"
"351",1992,18136,"RHODE ISLAND",2961,0.163266431407146,"44","1990_1999"
"352",1982,2474025,"SOUTH CAROLINA",80738,0.0326342700659856,"45","1980_1989"
"353",1987,1589636,"SOUTH CAROLINA",78569,0.0494257804931443,"45","1980_1989"
"354",1992,1590794,"SOUTH CAROLINA",73312,0.046085162503756,"45","1990_1999"
"355",1982,14433490,"SOUTH DAKOTA",364657,0.0252646449334153,"46","1980_1989"
"356",1987,12982611,"SOUTH DAKOTA",350822,0.0270224533416275,"46","1980_1989"
"357",1992,13624006,"SOUTH DAKOTA",357602,0.026247933243717,"46","1990_1999"
"358",1982,4548895,"TENNESSEE",16382,0.00360131416530828,"47","1980_1989"
"359",1987,3854302,"TENNESSEE",34886,0.00905118488379997,"47","1980_1989"
"360",1992,3817720,"TENNESSEE",34714,0.00909286170803516,"47","1990_1999"
"361",1982,20761160,"TEXAS",5319716,0.256234044725825,"48","1980_1989"
"362",1987,16521315,"TEXAS",4020802,0.243370579157894,"48","1980_1989"
"363",1992,18136653,"TEXAS",4673125,0.257661929133231,"48","1990_1999"
"364",1982,1118486,"UTAH",821839,0.734778083945619,"49","1980_1989"
"365",1987,1076886,"UTAH",829732,0.770491955508754,"49","1980_1989"
"366",1992,1043347,"UTAH",819877,0.78581430722473,"49","1990_1999"
"367",1982,547848,"VERMONT",1246,0.00227435347030563,"50","1980_1989"
"368",1987,488253,"VERMONT",1782,0.00364974715977168,"50","1980_1989"
"369",1992,477020,"VERMONT",2037,0.00427026120498092,"50","1990_1999"
"370",1982,2779282,"VIRGINIA",42400,0.0152557387123725,"51","1980_1989"
"371",1987,2406976,"VIRGINIA",77204,0.0320751017043793,"51","1980_1989"
"372",1992,2449013,"VIRGINIA",60722,0.0247944784286568,"51","1990_1999"
"373",1982,5278772,"WASHINGTON",1499888,0.284135780064,"53","1980_1989"
"374",1987,4597476,"WASHINGTON",1378065,0.299743815954667,"53","1980_1989"
"375",1992,4734673,"WASHINGTON",1519125,0.320851091511494,"53","1990_1999"
"376",1982,576889,"WEST VIRGINIA",871,0.00150982251351647,"54","1980_1989"
"377",1987,553517,"WEST VIRGINIA",2697,0.00487247907471677,"54","1980_1989"
"378",1992,555818,"WEST VIRGINIA",2459,0.00442411005041219,"54","1990_1999"
"379",1982,10062154,"WISCONSIN",257707,0.0256115141946744,"55","1980_1989"
"380",1987,9335007,"WISCONSIN",280624,0.0300614664777434,"55","1980_1989"
"381",1992,8843649,"WISCONSIN",325574,0.0368144416405491,"55","1990_1999"
"382",1982,1813830,"WYOMING",1146996,0.632361356907759,"56","1980_1989"
"383",1987,1717027,"WYOMING",1132266,0.659434010065072,"56","1980_1989"
"384",1992,1532732,"WYOMING",1099037,0.717044467004016,"56","1990_1999"
